area,year,series,value,location,country_code
Israel,2019,,5.21564,ISR,
Israel,2020,,5.70555,ISR,
Israel,2021,,5.55675,ISR,
Jordan,2016,,0.69547,JOR,
Kazakhstan,2016,,0.14179,KAZ,
Kazakhstan,2017,,0.12667,KAZ,
Kazakhstan,2018,,0.11683,KAZ,
Kazakhstan,2019,,0.11841,KAZ,
Kazakhstan,2020,,0.12602,KAZ,
Kazakhstan,2021,,0.13023,KAZ,
Kazakhstan,2022,,0.11974,KAZ,
Kenya,2022,,0.41019,KEN,
Kuwait,2016,,0.07985,KWT,
Kuwait,2017,,0.0804,KWT,
Kuwait,2018,,0.06349,KWT,
Kuwait,2019,,0.19146,KWT,
Kuwait,2020,,0.18661,KWT,
Kuwait,2022,,0.07964,KWT,
Latvia,2016,,0.43514,LVA,
Latvia,2017,,0.51104,LVA,
Latvia,2018,,0.63869,LVA,
Latvia,2019,,0.63627,LVA,
Latvia,2020,,0.72991,LVA,
Latvia,2021,,0.74092,LVA,
Lithuania,2016,,0.84241,LTU,
Lithuania,2017,,0.89626,LTU,
Lithuania,2018,,0.93662,LTU,
Lithuania,2019,,0.99353,LTU,
Lithuania,2020,,1.13361,LTU,
Lithuania,2021,,1.11075,LTU,
North Macedonia,2016,,0.43585,MKD,
North Macedonia,2017,,0.35439,MKD,
North Macedonia,2018,,0.36367,MKD,
North Macedonia,2019,,0.36783,MKD,
North Macedonia,2020,,0.37264,MKD,
North Macedonia,2021,,0.37719,MKD,
North Macedonia,2022,,0.38373,MKD,
Madagascar,2016,,0.01264,MDG,
Madagascar,2017,,0.01275,MDG,
Malaysia,2016,,1.41517,MYS,
Malaysia,2018,,1.04026,MYS,
Malaysia,2020,,0.95088,MYS,
Mali,2017,,0.29198,MLI,
Mali,2019,,0.15768,MLI,
Mali,2021,,0.17385,MLI,
Malta,2016,,0.55689,MLT,
Malta,2017,,0.55212,MLT,
Malta,2018,,0.57609,MLT,
Malta,2019,,0.56427,MLT,
Malta,2020,,0.65441,MLT,
Malta,2021,,0.66603,MLT,
Mauritius,2017,,0.35423,MUS,
Mauritius,2018,,0.33387,MUS,
Mauritius,2019,,0.35699,MUS,
Mauritius,2020,,0.40324,MUS,
Mauritius,2021,,0.36809,MUS,
Mauritius,2022,,0.30901,MUS,
Moldova,2016,,0.28004,MDA,
Moldova,2017,,0.25789,MDA,
Moldova,2018,,0.25626,MDA,
Moldova,2019,,0.24145,MDA,
Moldova,2020,,0.23511,MDA,
Moldova,2021,,0.23154,MDA,
Moldova,2022,,0.23122,MDA,
Mongolia,2016,,0.18345,MNG,
Mongolia,2017,,0.1342,MNG,
Mongolia,2018,,0.10161,MNG,
Mongolia,2019,,0.0927,MNG,
Mongolia,2020,,0.13301,MNG,
Mongolia,2021,,0.10008,MNG,
Mongolia,2022,,0.08521,MNG,
Myanmar,2017,,0.03484,MMR,
Myanmar,2018,,0.06354,MMR,
Myanmar,2019,,0.08926,MMR,
Myanmar,2020,,0.14897,MMR,
Myanmar,2021,,0.14506,MMR,
Myanmar,2022,,0.03994,MMR,
Pakistan,2017,,0.21214,PAK,
Pakistan,2019,,0.17475,PAK,
Pakistan,2021,,0.16443,PAK,
Panama,2016,,0.1324,PAN,
Panama,2017,,0.1353,PAN,
Panama,2018,,0.13359,PAN,
Panama,2019,,0.13624,PAN,
Panama,2020,,0.23235,PAN,
Panama,2021,,0.17688,PAN,
Panama,2022,,0.18243,PAN,
Paraguay,2016,,0.11676,PRY,
Paraguay,2017,,0.14888,PRY,
Paraguay,2018,,0.14684,PRY,
Paraguay,2019,,0.13751,PRY,
Paraguay,2020,,0.15697,PRY,
Paraguay,2021,,0.14398,PRY,
Peru,2016,,0.12008,PER,
Peru,2017,,0.12085,PER,
Peru,2018,,0.12683,PER,
Peru,2019,,0.15696,PER,
Peru,2020,,0.17183,PER,
Peru,2021,,0.13915,PER,
Peru,2022,,0.16435,PER,
Philippines,2018,,0.32222,PHL,
Romania,2016,,0.48864,ROU,
Romania,2017,,0.50693,ROU,
Romania,2018,,0.49729,ROU,
Romania,2019,,0.47616,ROU,
Romania,2020,,0.46538,ROU,
Romania,2021,,0.47302,ROU,
Russia,2016,,1.10238,RUS,
Russia,2017,,1.10967,RUS,
Russia,2018,,0.99002,RUS,
Russia,2019,,1.03531,RUS,
Russia,2020,,1.09099,RUS,
Russia,2021,,0.96197,RUS,
Russia,2022,,0.93584,RUS,
Saudi Arabia,2020,,0.49802,SAU,
Saudi Arabia,2021,,0.4455,SAU,
Saudi Arabia,2022,,0.46335,SAU,
Seychelles,2016,,0.21685,SYC,
Singapore,2016,,2.07291,SGP,
Singapore,2017,,1.89905,SGP,
Singapore,2018,,1.80958,SGP,
Singapore,2019,,1.88506,SGP,
Singapore,2020,,2.16305,SGP,
Slovenia,2016,,2.00764,SVN,
Slovenia,2017,,1.8653,SVN,
Slovenia,2018,,1.94594,SVN,
Slovenia,2019,,2.04128,SVN,
Slovenia,2020,,2.14266,SVN,
Slovenia,2021,,2.13088,SVN,
South Africa,2016,,0.74992,ZAF,
South Africa,2017,,0.76257,ZAF,
South Africa,2018,,0.68773,ZAF,
South Africa,2019,,0.6143,ZAF,
South Africa,2020,,0.6036,ZAF,
Sri Lanka,2016,,0.12034,LKA,
Sri Lanka,2017,,0.11818,LKA,
Sri Lanka,2018,,0.11949,LKA,
Sri Lanka,2020,,0.11597,LKA,
Tajikistan,2016,,0.10622,TJK,
Tajikistan,2017,,0.10957,TJK,
Tajikistan,2018,,0.09401,TJK,
Tajikistan,2019,,0.09367,TJK,
Tajikistan,2020,,0.08969,TJK,
Thailand,2016,,0.77829,THA,
Thailand,2017,,1.00166,THA,
Thailand,2018,,1.11374,THA,
Thailand,2019,,1.14317,THA,
Thailand,2020,,1.32819,THA,
Thailand,2021,,1.20972,THA,
Trinidad and Tobago,2016,,0.08709,TTO,
Trinidad and Tobago,2017,,0.08606,TTO,
Trinidad and Tobago,2018,,0.08222,TTO,
Trinidad and Tobago,2019,,0.05941,TTO,
Trinidad and Tobago,2020,,0.06434,TTO,
Trinidad and Tobago,2021,,0.05382,TTO,
Tunisia,2016,,0.56539,TUN,
Tunisia,2017,,0.69954,TUN,
Tunisia,2018,,0.71645,TUN,
Tunisia,2019,,0.74658,TUN,
Ukraine,2016,,0.48339,UKR,
Ukraine,2017,,0.44879,UKR,
Ukraine,2018,,0.47113,UKR,
Ukraine,2019,,0.43384,UKR,
Ukraine,2020,,0.40318,UKR,
Ukraine,2021,,0.3769,UKR,
Ukraine,2022,,0.32696,UKR,
Uruguay,2016,,0.37391,URY,
Uruguay,2017,,0.44052,URY,
Uruguay,2018,,0.50594,URY,
Uruguay,2019,,0.42667,URY,
Uruguay,2020,,0.44662,URY,
Uruguay,2021,,0.42035,URY,
Macao,2016,,0.23492,MAC,
Macao,2017,,0.1719,MAC,
Macao,2018,,0.20079,MAC,
Macao,2019,,0.24666,MAC,
Macao,2020,,0.4512,MAC,
Macao,2021,,0.38366,MAC,
Macao,2022,,0.48627,MAC,
Serbia,2016,,0.83822,SRB,
Serbia,2017,,0.87238,SRB,
Serbia,2018,,0.91891,SRB,
Serbia,2019,,0.88667,SRB,
Serbia,2020,,0.90558,SRB,
Serbia,2021,,0.99409,SRB,
Serbia,2022,,0.9671,SRB,
Montenegro,2016,,0.32454,MNE,
Montenegro,2017,,0.34898,MNE,
Montenegro,2018,,0.50374,MNE,
Montenegro,2019,,0.36328,MNE,
Algeria,2017,,0.53432,DZA,
Bosnia and Herzegovina,2016,,0.21337,BIH,
Bosnia and Herzegovina,2017,,0.1978,BIH,
Bosnia and Herzegovina,2018,,0.19199,BIH,
Bosnia and Herzegovina,2019,,0.19001,BIH,
Bosnia and Herzegovina,2020,,0.20325,BIH,
Bosnia and Herzegovina,2021,,0.19054,BIH,
Bosnia and Herzegovina,2022,,0.18749,BIH,
Chile,2016,,0.37103,CHL,
Chile,2017,,0.35679,CHL,
Chile,2018,,0.36916,CHL,
Chile,2019,,0.34205,CHL,
Chile,2020,,0.33496,CHL,
Ethiopia,2017,,0.27437,ETH,
Indonesia,2016,,0.24535,IDN,
Indonesia,2017,,0.23805,IDN,
Indonesia,2018,,0.22632,IDN,
Indonesia,2019,,0.27129,IDN,
Indonesia,2020,,0.28068,IDN,
Kyrgyzstan,2016,,0.11121,KGZ,
Kyrgyzstan,2017,,0.10707,KGZ,
Kyrgyzstan,2018,,0.10107,KGZ,
Kyrgyzstan,2019,,0.09016,KGZ,
Kyrgyzstan,2020,,0.08881,KGZ,
Kyrgyzstan,2021,,0.07515,KGZ,
Kyrgyzstan,2022,,0.07685,KGZ,
Nigeria,2019,,0.28444,NGA,
Viet Nam,2017,,0.41895,VNM,
Viet Nam,2019,,0.41652,VNM,
Viet Nam,2021,,0.42533,VNM,
Burundi,2018,,0.21312,BDI,
Iraq,2016,,0.03737,IRQ,
Iraq,2017,,0.04596,IRQ,
Iraq,2018,,0.04279,IRQ,
Iraq,2019,,0.03266,IRQ,
Iraq,2020,,0.04053,IRQ,
Iraq,2021,,0.04109,IRQ,
Oman,2016,,0.22691,OMN,
Oman,2017,,0.19925,OMN,
Oman,2018,,0.19031,OMN,
Oman,2019,,0.27255,OMN,
Oman,2020,,0.31599,OMN,
Oman,2021,,0.28978,OMN,
Oman,2022,,0.27506,OMN,
United Arab Emirates,2016,,0.9318,ARE,
United Arab Emirates,2018,,1.26389,ARE,
United Arab Emirates,2019,,1.31065,ARE,
United Arab Emirates,2020,,1.48831,ARE,
United Arab Emirates,2021,,1.49525,ARE,
Qatar,2018,,0.53129,QAT,
Qatar,2021,,0.68078,QAT,
World,2016,,1.73456,40510,
World,2017,,1.74885,40510,
World,2018,,1.7787,40510,
World,2019,,1.83431,40510,
World,2020,,1.95259,40510,
World,2021,,1.92867,40510,
Central Asia,2016,,0.16752,40505,
Central Asia,2017,,0.14523,40505,
Central Asia,2018,,0.13249,40505,
Central Asia,2019,,0.13421,40505,
Central Asia,2020,,0.14959,40505,
Central Asia,2021,,0.14623,40505,
South and West Asia,2016,,0.59514,40535,
South and West Asia,2017,,0.5925,40535,
South and West Asia,2018,,0.58697,40535,
South and West Asia,2019,,0.58506,40535,
South and West Asia,2020,,0.57343,40535,
South and West Asia,2021,,0.57441,40535,
Latin America and the Caribbean,2016,,0.64618,40520,
Latin America and the Caribbean,2017,,0.57879,40520,
Latin America and the Caribbean,2018,,0.58794,40520,
Latin America and the Caribbean,2019,,0.59507,40520,
Latin America and the Caribbean,2020,,0.58963,40520,
Latin America and the Caribbean,2021,,0.54823,40520,
Central and Eastern Europe,2016,,1.01379,40530,
Central and Eastern Europe,2017,,1.04697,40530,
Central and Eastern Europe,2018,,1.05412,40530,
Central and Eastern Europe,2019,,1.09438,40530,
Central and Eastern Europe,2020,,1.14348,40530,
Central and Eastern Europe,2021,,1.1037,40530,
East Asia and the Pacific,2016,,2.05224,40515,
East Asia and the Pacific,2017,,2.08101,40515,
East Asia and the Pacific,2018,,2.10431,40515,
East Asia and the Pacific,2019,,2.15932,40515,
East Asia and the Pacific,2020,,2.29054,40515,
East Asia and the Pacific,2021,,2.31308,40515,
North America and Western Europe,2016,,2.54431,40500,
North America and Western Europe,2017,,2.58203,40500,
North America and Western Europe,2018,,2.65185,40500,
North America and Western Europe,2019,,2.74321,40500,
North America and Western Europe,2020,,2.95414,40500,
North America and Western Europe,2021,,2.93273,40500,
Arab States,2016,,0.56797,40525,
Arab States,2017,,0.5608,40525,
Arab States,2018,,0.57403,40525,
Arab States,2019,,0.59421,40525,
Arab States,2020,,0.6219,40525,
Arab States,2021,,0.61091,40525,
Sub-Saharan Africa,2016,,0.36748,40540,
Sub-Saharan Africa,2017,,0.37166,40540,
Sub-Saharan Africa,2018,,0.3533,40540,
Sub-Saharan Africa,2019,,0.33438,40540,
Sub-Saharan Africa,2020,,0.3315,40540,
Sub-Saharan Africa,2021,,0.33342,40540,
Uzbekistan,2016,,0.17238,UZB,
Uzbekistan,2017,,0.14834,UZB,
Uzbekistan,2018,,0.12394,UZB,
Uzbekistan,2019,,0.11306,UZB,
Uzbekistan,2020,,0.1385,UZB,
Uzbekistan,2021,,0.1316,UZB,
Uzbekistan,2022,,0.16022,UZB,
Congo,2022,,0.4149,COG,
Rwanda,2016,,0.64944,RWA,
Rwanda,2019,,0.75873,RWA,
Northern Africa and Western Asia,2016,,0.84527,40617,
Northern Africa and Western Asia,2017,,0.85721,40617,
Northern Africa and Western Asia,2018,,0.89064,40617,
Northern Africa and Western Asia,2019,,0.92969,40617,
Northern Africa and Western Asia,2020,,0.98344,40617,
Northern Africa and Western Asia,2021,,0.98462,40617,
Central and Southern Asia,2016,,0.5662,40618,
Central and Southern Asia,2017,,0.56275,40618,
Central and Southern Asia,2018,,0.55682,40618,
Central and Southern Asia,2019,,0.55455,40618,
Central and Southern Asia,2020,,0.54381,40618,
Central and Southern Asia,2021,,0.5454,40618,
Small Island Developing States,2016,,0.95295,40344,
Small Island Developing States,2017,,0.91732,40344,
Small Island Developing States,2018,,0.91331,40344,
Small Island Developing States,2019,,0.94152,40344,
Small Island Developing States,2020,,1.04701,40344,
Small Island Developing States,2021,,0.70611,40344,
Latin America and the Caribbean,2016,,0.64641,40630,
Latin America and the Caribbean,2017,,0.57897,40630,
Latin America and the Caribbean,2018,,0.58812,40630,
Latin America and the Caribbean,2019,,0.59524,40630,
Latin America and the Caribbean,2020,,0.58982,40630,
Latin America and the Caribbean,2021,,0.54837,40630,
Least Developed Countries,2016,,0.26796,40334,
Least Developed Countries,2017,,0.2648,40334,
Least Developed Countries,2018,,0.26136,40334,
Least Developed Countries,2019,,0.2608,40334,
Least Developed Countries,2020,,0.26877,40334,
Least Developed Countries,2021,,0.27132,40334,
Eastern and South-Eastern Asia,2016,,2.06256,40619,
Eastern and South-Eastern Asia,2017,,2.09274,40619,
Eastern and South-Eastern Asia,2018,,2.11705,40619,
Eastern and South-Eastern Asia,2019,,2.17476,40619,
Eastern and South-Eastern Asia,2020,,2.31101,40619,
Eastern and South-Eastern Asia,2021,,2.33334,40619,
Lower middle income countries,2016,,0.50904,40042,
Lower middle income countries,2017,,0.50939,40042,
Lower middle income countries,2018,,0.51203,40042,
Lower middle income countries,2019,,0.51639,40042,
Lower middle income countries,2020,,0.51791,40042,
Lower middle income countries,2021,,0.51949,40042,
Northern America,2016,,2.76026,40640,
Northern America,2017,,2.8025,40640,
Northern America,2018,,2.9041,40640,
Northern America,2019,,3.05584,40640,
Northern America,2020,,3.34354,40640,
Northern America,2021,,3.31563,40640,
World,2016,,1.73456,40675,
World,2017,,1.74885,40675,
World,2018,,1.7787,40675,
World,2019,,1.83431,40675,
World,2020,,1.95259,40675,
World,2021,,1.92867,40675,
Northern Africa,2016,,0.60065,40603,
Northern Africa,2017,,0.58699,40603,
Northern Africa,2018,,0.6118,40603,
Northern Africa,2019,,0.67147,40603,
Northern Africa,2020,,0.74175,40603,
Northern Africa,2021,,0.73937,40603,
High income countries,2016,,2.42228,40041,
High income countries,2017,,2.46198,40041,
High income countries,2018,,2.52872,40041,
High income countries,2019,,2.5983,40041,
High income countries,2020,,2.77281,40041,
High income countries,2021,,2.76359,40041,
Central Asia,2016,,0.14982,40612,
Central Asia,2017,,0.12753,40612,
Central Asia,2018,,0.1136,40612,
Central Asia,2019,,0.11407,40612,
Central Asia,2020,,0.12726,40612,
Central Asia,2021,,0.12904,40612,
Eastern Asia,2016,,2.41342,40611,
Eastern Asia,2017,,2.451,40611,
Eastern Asia,2018,,2.48173,40611,
Eastern Asia,2019,,2.55088,40611,
Eastern Asia,2020,,2.69319,40611,
Eastern Asia,2021,,2.70511,40611,
Europe and Northern America,2016,,2.28698,40642,
Europe and Northern America,2017,,2.31718,40642,
Europe and Northern America,2018,,2.36458,40642,
Europe and Northern America,2019,,2.44202,40642,
Europe and Northern America,2020,,2.61734,40642,
Europe and Northern America,2021,,2.58713,40642,
Middle income countries,2016,,1.1022,40030,
Middle income countries,2017,,1.10213,40030,
Middle income countries,2018,,1.11503,40030,
Middle income countries,2019,,1.16788,40030,
Middle income countries,2020,,1.25514,40030,
Middle income countries,2021,,1.24837,40030,
Small Island Developing States,2016,,1.00099,40550,
Small Island Developing States,2017,,0.95841,40550,
Small Island Developing States,2018,,0.951,40550,
Small Island Developing States,2019,,0.98123,40550,
Small Island Developing States,2020,,1.09485,40550,
Small Island Developing States,2021,,0.71665,40550,
Sub-Saharan Africa,2016,,0.36811,40606,
Sub-Saharan Africa,2017,,0.37232,40606,
Sub-Saharan Africa,2018,,0.35409,40606,
Sub-Saharan Africa,2019,,0.3353,40606,
Sub-Saharan Africa,2020,,0.33246,40606,
Sub-Saharan Africa,2021,,0.33435,40606,
Oceania,2016,,1.74933,40650,
Oceania,2017,,1.73781,40650,
Oceania,2018,,1.72339,40650,
Oceania,2019,,1.70446,40650,
Oceania,2020,,1.71346,40650,
Oceania,2021,,1.71762,40650,
Upper middle income countries,2016,,1.36871,40043,
Upper middle income countries,2017,,1.36962,40043,
Upper middle income countries,2018,,1.38782,40043,
Upper middle income countries,2019,,1.46296,40043,
Upper middle income countries,2020,,1.58287,40043,
Upper middle income countries,2021,,1.56253,40043,
Southern Asia,2016,,0.59514,40616,
Southern Asia,2017,,0.5925,40616,
Southern Asia,2018,,0.58697,40616,
Southern Asia,2019,,0.58506,40616,
Southern Asia,2020,,0.57343,40616,
Southern Asia,2021,,0.57441,40616,
Landlocked Developing Countries,2016,,0.22317,40330,
Landlocked Developing Countries,2017,,0.2074,40330,
Landlocked Developing Countries,2018,,0.19539,40330,
Landlocked Developing Countries,2019,,0.19019,40330,
Landlocked Developing Countries,2020,,0.19986,40330,
Landlocked Developing Countries,2021,,0.19883,40330,
Australia and New Zealand,2016,,1.81376,40651,
Australia and New Zealand,2017,,1.80241,40651,
Australia and New Zealand,2018,,1.78641,40651,
Australia and New Zealand,2019,,1.76643,40651,
Australia and New Zealand,2020,,1.77095,40651,
Australia and New Zealand,2021,,1.77393,40651,
Low income countries,2016,,0.24801,40044,
Low income countries,2017,,0.23422,40044,
Low income countries,2018,,0.22703,40044,
Low income countries,2019,,0.21818,40044,
Low income countries,2020,,0.20959,40044,
Low income countries,2021,,0.21204,40044,
South-Eastern Asia,2016,,0.93275,40613,
South-Eastern Asia,2017,,0.94512,40613,
South-Eastern Asia,2018,,0.94885,40613,
South-Eastern Asia,2019,,0.97593,40613,
South-Eastern Asia,2020,,1.04967,40613,
South-Eastern Asia,2021,,1.0749,40613,
Western Asia,2016,,0.93294,40614,
Western Asia,2017,,0.95114,40614,
Western Asia,2018,,0.9897,40614,
Western Asia,2019,,1.02264,40614,
Western Asia,2020,,1.06956,40614,
Western Asia,2021,,1.07239,40614,
Europe,2016,,1.92024,40620,
Europe,2017,,1.94581,40620,
Europe,2018,,1.95257,40620,
Europe,2019,,1.98184,40620,
Europe,2020,,2.06465,40620,
Europe,2021,,2.01882,40620,
Chad,2016,,0.3005,TCD,
Venezuela,2016,,0.69,VEN,
Papua New Guinea,2016,,0.03158,PNG,
Ivory Coast,2016,,0.06975,CIV,
Angola,2016,,0.03229,AGO,
Mauritania,2018,,0.01019,MRT,
